name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
30EL0015,B30E0319,1,B30E0319/001,7.833,7.31,8.31,P8055,7.833,7.6,"Meteostation Valkenburg  - P","b30e0319-001_170120105611_P8055.MON",20-10-2016 12:00,20-01-2017 09:00,91,2206
30EL0020,B30E0333,1,B30E0333/001,7.883,4.01,5.01,L4346,7.883,4.92,"Meteostation Valkenburg  - P","b30e0333-001_L4346_160330172940.MON",15-12-2015 05:00,30-03-2016 15:00,106,2555
30EL0020,B30E0333,1,B30E0333/001,7.883,4.01,5.01,L4346,7.883,5.04,"Meteostation Valkenburg  - P","b30e0333-001_160708124645_L4346.MON",30-03-2016 16:00,08-07-2016 10:00,99,2395
30EL0020,B30E0333,1,B30E0333/001,7.883,4.01,5.01,L4346,7.883,5.04,"Meteostation Valkenburg  - P","b30e0333-001_161020131419_L4346.MON",08-07-2016 11:00,20-10-2016 11:00,104,2497
30EL0020,B30E0333,1,B30E0333/001,7.883,4.01,5.01,G2785,7.883,5.04,"Meteostation Valkenburg  - P","b30e0333-001_170120102615_G2785.MON",20-10-2016 12:00,20-01-2017 09:00,91,2206
30FP0387,B30F0387,1,B30F0387/001,3.15,5.82,6.82,P4911,3.15,5.1,"Meteostation Valkenburg  - P","b30f0387-001_P4911_160331094519.MON",15-12-2015 05:00,31-03-2016 07:00,107,2571
30FP0387,B30F0387,1,B30F0387/001,3.15,5.82,6.82,P4911,3.15,5.04,"Meteostation Valkenburg  - P","b30f0387-001_160708151005_P4911.MON",31-03-2016 08:00,08-07-2016 13:00,99,2382
30FP0387,B30F0387,1,B30F0387/001,3.15,5.82,6.82,P4911,3.15,5.04,"Meteostation Valkenburg  - P","b30f0387-001_161020152629_P4911.MON",08-07-2016 14:00,20-10-2016 13:00,103,2496
30FP0387,B30F0387,1,B30F0387/001,3.15,5.82,6.82,P4911,3.15,5.04,"Meteostation Valkenburg  - P","b30f0387-001_170120133938_P4911.MON",20-10-2016 14:00,20-01-2017 12:00,91,2207
30FP0388,B30F0388,1,B30F0388/001,1.218,4.79,5.79,P4677,1.218,4.56,"Meteostation Valkenburg  - P","b30f0388-001_P4677_160331091620.MON",15-12-2015 05:00,31-03-2016 08:00,107,2572
30FP0388,B30F0388,1,B30F0388/001,1.218,4.79,5.79,P4677,1.218,4.56,"Meteostation Valkenburg  - P","b30f0388-001_160708144902_P4677.MON",31-03-2016 08:00,08-07-2016 12:00,99,2381
30FP0388,B30F0388,1,B30F0388/001,1.218,4.79,5.79,P4677,1.218,4.56,"Meteostation Valkenburg  - P","b30f0388-001_161020150812_P4677.MON",08-07-2016 13:00,20-10-2016 13:00,104,2497
30FP0388,B30F0388,1,B30F0388/001,1.218,4.79,5.79,P4677,1.218,4.56,"Meteostation Valkenburg  - P","b30f0388-001_170120131427_P4677.MON",20-10-2016 14:00,20-01-2017 12:00,91,2207
30FP0388,B30F0388,2,B30F0388/002,1.198,23.1,24.1,P4923,1.198,5.11,"Meteostation Valkenburg  - P","b30f0388-002_P4923_160331092156.MON",15-12-2015 05:00,31-03-2016 07:00,107,2571
30FP0388,B30F0388,2,B30F0388/002,1.198,23.1,24.1,P4923,1.198,5.11,"Meteostation Valkenburg  - P","b30f0388-002_160708145044_P4923.MON",31-03-2016 08:00,08-07-2016 12:00,99,2381
30FP0388,B30F0388,2,B30F0388/002,1.198,23.1,24.1,P4923,1.198,5.11,"Meteostation Valkenburg  - P","b30f0388-002_161020150917_P4923.MON",08-07-2016 13:00,20-10-2016 13:00,104,2497
30FP0388,B30F0388,2,B30F0388/002,1.198,23.1,24.1,P4923,1.198,5.11,"Meteostation Valkenburg  - P","b30f0388-002_170120131744_P4923.MON",20-10-2016 14:00,20-01-2017 12:00,91,2207
30FP0422,B30F0422,1,B30F0422/001,0.998,12.63,13.63,P8044,0.998,5.0,"Meteostation Valkenburg  - P","b30f0422-001_P8044_160331084400.MON",15-12-2015 05:00,31-03-2016 06:00,107,2570
30FP0422,B30F0422,1,B30F0422/001,0.998,12.63,13.63,P8044,0.998,5.0,"Meteostation Valkenburg  - P","b30f0422-001_160708142125_P8044.MON",31-03-2016 07:00,08-07-2016 12:00,99,2382
30FP0422,B30F0422,1,B30F0422/001,0.998,12.63,13.63,P8044,0.998,5.0,"Meteostation Valkenburg  - P","b30f0422-001_161020144651_P8044.MON",08-07-2016 13:00,20-10-2016 12:00,103,2496
30FP0422,B30F0422,1,B30F0422/001,0.998,12.63,13.63,P8044,0.998,5.0,"Meteostation Valkenburg  - P","b30f0422-001_170120124336_P8044.MON",20-10-2016 13:00,20-01-2017 11:00,91,2207
30FP0422,B30F0422,2,B30F0422/002,0.961,34.82,36.82,P4931,0.961,5.08,"Meteostation Valkenburg  - P","b30f0422-002_P4931_160331084640.MON",15-12-2015 05:00,31-03-2016 06:00,107,2570
30FP0422,B30F0422,2,B30F0422/002,0.961,34.82,36.82,P4931,0.961,5.08,"Meteostation Valkenburg  - P","b30f0422-002_160708142250_P4931.MON",31-03-2016 07:00,08-07-2016 12:00,99,2382
30FP0422,B30F0422,2,B30F0422/002,0.961,34.82,36.82,P4931,0.961,5.08,"Meteostation Valkenburg  - P","b30f0422-002_161020144805_P4931.MON",08-07-2016 13:00,20-10-2016 12:00,103,2496
30FP0422,B30F0422,2,B30F0422/002,0.961,34.82,36.82,P4931,0.961,5.08,"Meteostation Valkenburg  - P","b30f0422-002_170120124454_P4931.MON",20-10-2016 13:00,20-01-2017 11:00,91,2207
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,47605,0.53,4.1,"Meteostation Valkenburg  - P","30fp0469-001.MON",06-12-2011 12:00,18-04-2013 08:00,498,11973
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,47605,0.53,4.1,"Meteostation Valkenburg  - P","30fp0469-001.MON",18-04-2013 08:00,05-09-2013 09:00,140,3362
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,47605,0.53,9.99,"Meteostation Valkenburg  - P","30fp0469-001_140202224035_47605.MON",05-09-2013 10:00,29-01-2014 08:00,145,3503
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,47605,0.53,9.99,"Meteostation Valkenburg  - P","30fp0469-001.MON",29-01-2014 09:00,31-05-2014 08:00,121,2928
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,47605,0.53,9.99,"Meteostation Valkenburg  - P","30fp0469-001.MON",31-05-2014 08:00,07-10-2014 12:00,129,3101
